1: 1723787753.485718, +
2: 1723787753.486232, +0.0005140304565429688
3: 1723787753.504235, +0.018002986907958984
4: 1723787755.357895, +1.8536598682403564
5: 1723787788.07967, +32.72177505493164
6: 1723787788.088115, +0.008445024490356445
7: 1723787788.0986931, +0.010578155517578125
8: 1723787788.6615129, +0.5628197193145752
9: 1723787792.253729, +3.5922162532806396
10: 1723787793.661055, +1.4073259830474854
